currency,rate
ARS,0.000228
AUD,0.000003
BHD,0.000001
BWP,0.000026
BRL,0.000013
BND,0.000003
BGN,0.000004
CAD,0.000003
CLP,0.001856
CNY,0.000015
COP,0.008688
HRK,0.000015
CZK,0.000050
DKK,0.000015
EUR,0.000002
HKD,0.000018
HUF,0.000707
ISK,0.000296
INR,0.000170
IDR,0.032602
IRR,0.095760
ILS,0.000007
JPY,0.000260
KZT,0.000978
KRW,0.002697
KWD,0.000001
LYD,0.000010
MYR,0.000009
MUR,0.000098
MXN,0.000047
NPR,0.000273
NZD,0.000003
NOK,0.000019
OMR,0.000001
PKR,0.000387
PHP,0.000115
PLN,0.000009
QAR,0.000008
RON,0.000010
RUB,0.000164
SAR,0.000009
SGD,0.000003
ZAR,0.000035
LKR,0.000459
SEK,0.000020
CHF,0.000002
TWD,0.000063
THB,0.000076
TTD,0.000015
TRY,0.000022
AED,0.000008
GBP,0.000002
USD,0.000002
